,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,PER_A,WINNER
116,LAC,1610612746,2018-11-05,120,109,0.489,0.452,0.909,43,12,4,0.5555555555555556,0.75,1522.144099840912,1466.9870443480938,20.023813442353617,1
117,MIN,1610612750,2018-11-05,109,120,0.471,0.238,0.8,38,11,8,0.4,0.0,1466.9870443480938,1522.144099840912,21.631301887459585,0
118,CLE,1610612739,2018-11-05,100,102,0.513,0.435,0.667,42,18,2,0.1111111111111111,0.0,1425.6495074838097,1448.6837491239387,14.136050567701657,0
119,ORL,1610612753,2018-11-05,102,100,0.448,0.324,0.867,40,15,5,0.3333333333333333,0.2,1448.6837491239387,1425.6495074838097,17.723046147560805,1
120,MIA,1610612748,2018-11-05,120,115,0.449,0.387,0.645,50,17,8,0.375,0.25,1491.1888175435856,1483.9813408744026,16.447065186314326,1
121,DET,1610612765,2018-11-05,115,120,0.41,0.314,0.643,60,19,3,0.5,0.75,1483.9813408744026,1491.1888175435856,14.975790186760143,0
122,IND,1610612754,2018-11-05,94,98,0.44,0.286,0.667,39,16,3,0.7,0.75,1537.1659354473402,1469.441788868222,18.003771199011002,0
123,HOU,1610612745,2018-11-05,98,94,0.447,0.319,0.938,39,17,6,0.375,0.75,1469.441788868222,1537.1659354473402,16.876226502989514,1
124,TOR,1610612761,2018-11-05,124,111,0.57,0.394,0.929,43,15,3,0.9,0.75,1575.8355674173913,1503.9369230995303,16.514150890436486,1
125,UTA,1610612762,2018-11-05,111,124,0.442,0.258,0.659,40,12,4,0.4444444444444444,0.0,1503.9369230995303,1575.8355674173913,17.991088191906705,0
126,DEN,1610612743,2018-11-05,115,107,0.456,0.382,0.714,47,13,4,0.8888888888888888,1.0,1568.1327751066165,1534.6446672561797,17.959853155308558,1
127,BOS,1610612738,2018-11-05,107,115,0.506,0.29,0.833,40,12,9,0.6666666666666666,0.6,1534.6446672561797,1568.1327751066165,14.167291602749286,0
128,OKC,1610612760,2018-11-05,122,116,0.484,0.37,0.71,41,12,3,0.5,0.5,1508.7059386118124,1485.4446998473106,18.972971550875243,1
129,NOP,1610612740,2018-11-05,116,122,0.488,0.31,0.833,45,21,5,0.4444444444444444,0.2,1485.4446998473106,1508.7059386118124,23.015316809639312,0
130,PHX,1610612756,2018-11-06,82,104,0.346,0.36,0.85,49,20,3,0.2222222222222222,0.4,1425.0591916509118,1486.875501652869,15.306689994587105,0
131,BKN,1610612751,2018-11-06,104,82,0.446,0.25,0.684,52,10,5,0.4,0.2,1486.875501652869,1425.0591916509118,15.964976117755993,1
132,POR,1610612757,2018-11-06,118,103,0.527,0.395,0.625,51,12,3,0.7,0.6666666666666666,1561.8082366187034,1598.4144500101163,20.526906494446873,1
133,MIL,1610612749,2018-11-06,103,118,0.435,0.381,0.875,42,12,1,0.8888888888888888,0.6666666666666666,1598.4144500101163,1561.8082366187034,20.70247830322019,0
134,WAS,1610612764,2018-11-06,100,119,0.425,0.314,0.75,32,10,6,0.2222222222222222,0.2,1443.99940528899,1451.2150724340233,19.728895984211757,0
135,DAL,1610612742,2018-11-06,119,100,0.476,0.441,0.963,50,18,6,0.2222222222222222,0.5,1451.2150724340233,1443.99940528899,15.334441914698067,1
136,CHA,1610612766,2018-11-06,113,102,0.489,0.419,0.556,43,21,4,0.5,0.6,1536.4616588719343,1439.6776642202483,18.757508788983845,1
137,ATL,1610612737,2018-11-06,102,113,0.482,0.2,0.778,37,22,9,0.3333333333333333,0.2,1439.6776642202483,1536.4616588719343,18.13989886283332,0
138,LAL,1610612747,2018-11-07,114,110,0.484,0.441,0.786,47,16,4,0.4,0.4,1490.1849474693115,1458.1013342491103,18.388763774678893,1
139,MIN,1610612750,2018-11-07,110,114,0.451,0.5,0.889,40,16,5,0.36363636363636365,0.0,1458.1013342491103,1490.1849474693115,21.71798603463015,0
140,DET,1610612765,2018-11-07,103,96,0.411,0.297,0.9,50,20,1,0.4444444444444444,0.25,1477.1294411828794,1453.1140999013487,13.723506989409724,1
141,ORL,1610612753,2018-11-07,96,103,0.46,0.333,0.778,40,21,8,0.4,0.3333333333333333,1453.1140999013487,1477.1294411828794,17.81023199029631,0
142,OKC,1610612760,2018-11-07,95,86,0.417,0.259,0.692,44,12,9,0.5555555555555556,0.5,1515.7898979787087,1421.2191567063996,14.769442363718104,1
143,CLE,1610612739,2018-11-07,86,95,0.371,0.29,0.846,51,20,4,0.1,0.2,1421.2191567063996,1515.7898979787087,15.399622659625068,0
144,SAS,1610612759,2018-11-07,88,95,0.33,0.406,0.929,49,12,5,0.6666666666666666,0.6666666666666666,1514.304633768651,1498.0407172351088,15.875065277763369,0
145,MIA,1610612748,2018-11-07,95,88,0.387,0.313,0.722,60,13,11,0.4444444444444444,0.5,1498.0407172351088,1514.304633768651,14.851644529687656,1
146,DAL,1610612742,2018-11-07,102,117,0.397,0.333,0.9,49,25,4,0.3,0.0,1466.6059673026798,1494.7146142022561,16.481033395929625,0
147,UTA,1610612762,2018-11-07,117,102,0.483,0.351,0.692,35,12,10,0.4,0.0,1494.7146142022561,1466.6059673026798,18.100308644220895,1
148,IND,1610612754,2018-11-07,94,100,0.394,0.258,0.706,41,12,6,0.6363636363636364,0.6,1529.1921502368639,1495.2368441961244,18.599683874842476,0
149,PHI,1610612755,2018-11-07,100,94,0.456,0.313,0.818,43,17,8,0.5454545454545454,0.0,1495.2368441961244,1529.1921502368639,17.778188483177466,1
150,NYK,1610612752,2018-11-07,112,107,0.442,0.367,0.702,48,18,7,0.2727272727272727,0.2,1463.6858836150832,1432.23315172416,15.173100758039212,1
151,ATL,1610612737,2018-11-07,107,112,0.402,0.289,0.759,45,17,9,0.3,0.5,1432.23315172416,1463.6858836150832,15.564480999632236,0
152,SAC,1610612758,2018-11-07,105,114,0.477,0.348,0.722,31,15,5,0.6,0.6666666666666666,1508.1077627979628,1585.0578763146655,19.731148562288983,0
153,TOR,1610612761,2018-11-07,114,105,0.461,0.306,0.913,53,22,4,0.9090909090909091,0.8,1585.0578763146655,1508.1077627979628,21.598465353741737,1
154,DEN,1610612743,2018-11-07,87,89,0.39,0.25,0.789,41,19,3,0.9,0.75,1576.1255329145392,1511.7337421286184,18.4274759048616,0
155,MEM,1610612763,2018-11-07,89,87,0.429,0.381,0.84,36,18,7,0.5555555555555556,1.0,1511.7337421286184,1576.1255329145392,16.05743444290226,1
156,NOP,1610612740,2018-11-07,107,98,0.447,0.367,0.706,55,15,10,0.4,0.75,1478.3607404804143,1446.79250540907,21.002275432709393,1
157,CHI,1610612741,2018-11-07,98,107,0.396,0.29,0.765,46,12,7,0.2727272727272727,0.4,1446.79250540907,1478.3607404804143,17.06023790016632,0
158,MIL,1610612749,2018-11-08,134,111,0.515,0.257,0.778,46,12,7,0.8,0.5,1583.088879344834,1604.4996449982373,20.822627219161852,1
159,GSW,1610612744,2018-11-08,111,134,0.483,0.357,0.773,38,18,6,0.9090909090909091,1.0,1604.4996449982373,1583.088879344834,24.25472520444012,0
160,PHX,1610612756,2018-11-08,109,116,0.441,0.314,0.842,42,15,6,0.2,0.3333333333333333,1411.3118327790278,1526.651909448257,16.348302692088943,0
161,BOS,1610612738,2018-11-08,116,109,0.402,0.378,0.774,56,16,6,0.6,0.5,1526.651909448257,1411.3118327790278,15.645960828005771,1
162,LAC,1610612746,2018-11-08,105,116,0.461,0.348,0.75,41,7,10,0.6,0.4,1531.0298099398956,1577.1338072839858,19.949256214852973,0
163,POR,1610612757,2018-11-08,116,105,0.412,0.385,0.929,53,7,8,0.7272727272727273,0.7142857142857143,1577.1338072839858,1531.0298099398956,20.620392955028283,1
164,OKC,1610612760,2018-11-08,98,80,0.444,0.243,0.708,52,15,4,0.6,0.6,1522.4350184033067,1477.4155740786982,15.633248940397012,1
165,HOU,1610612745,2018-11-08,80,98,0.378,0.262,0.7,39,17,3,0.4444444444444444,0.8,1477.4155740786982,1522.4350184033067,17.335722555333682,0
166,PHI,1610612755,2018-11-09,133,132,0.479,0.324,0.756,59,17,15,0.5833333333333334,1.0,1503.9598585548363,1543.9061713680226,18.14706723578565,1
167,CHA,1610612766,2018-11-09,132,133,0.391,0.4,0.75,49,7,5,0.5454545454545454,0.4,1543.9061713680226,1503.9598585548363,19.442835066031463,0
168,WAS,1610612764,2018-11-09,108,117,0.512,0.407,0.684,35,19,3,0.2,0.16666666666666666,1428.6085104203335,1445.4295532392182,16.41130465551319,0
169,ORL,1610612753,2018-11-09,117,108,0.512,0.419,0.842,41,16,6,0.36363636363636365,0.2857142857142857,1445.4295532392182,1428.6085104203335,17.061223320879904,1
170,IND,1610612754,2018-11-09,110,102,0.544,0.35,0.586,39,18,5,0.5833333333333334,0.6666666666666666,1520.469135878152,1506.9630972726393,18.906683403280027,1
171,MIA,1610612748,2018-11-09,102,110,0.45,0.519,0.593,38,24,6,0.5,0.6,1506.9630972726393,1520.469135878152,14.397055684887391,0
